code,name,date,title,sentiment_score
000120,CJ대한통운,2025-12-04,"""쿠팡 사태로 반사이익 기대""…주가 들썩이는 CJ대한통운 - 연합뉴스",0.9928
000120,CJ대한통운,2026-02-09,"CJ대한통운 주가 장중 9%대 상승, 대형마트 규제 완화 기대에 52주 신고가 - 비즈니스포스트",0.9937
000120,CJ대한통운,2026-04-24,"[코스피 현미경 분석] CJ대한통운, 脫쿠팡 수혜로 물동량 성장세…주가 탄력? - 데일리인베스트",0.9936
000120,CJ대한통운,2026-02-11,"'주7일 배송 돌풍'에 '신고가'…""50% 더 오른다"" 기대감 폭발 - 마켓인",0.9931
000120,CJ대한통운,2025-12-04,"""로켓배송 안 쓰면 여기가 뜬다""…'신고가' 직행한 회사 [종목+] - 한국경제",0.8937
000120,CJ대한통운,2026-01-19,"""CJ대한통운, 탈쿠팡 효과 확실…택배로 2026년 반등"" [줌인e종목] - 뉴스1",0.9933
000120,CJ대한통운,2025-09-26,"CJ대한통운, ""실적 바닥 확인에도 회복은 더뎌""...목표가도 '고정' [주가동향] - 조세일보",-0.8856
000120,CJ대한통운,2026-01-05,"CJ대한통운, 쿠팡 리스크 속 유일한 '중장기 수혜주' - 스트레이트뉴스",0.9882
000120,CJ대한통운,2026-06-01,CJ대한통운 투자분석 2026. 06. 01 - 주달,0.0
000120,CJ대한통운,2026-05-15,“눈높이 낮춰라”...증권가 외면받는 CJ대한통운 - 매일경제,-0.9924
000120,CJ대한통운,2026-02-11,"[특징주] CJ대한통운, 10% 이상 급등해 신고가 경신… “마트 규제 완화에 날개 달았다” - 라이센스뉴스",0.9937
000120,CJ대한통운,2026-06-11,실적 순항·곳간은 비어간다···CJ대한통운 저평가의 역설 - 시사저널e,0.9812
000120,CJ대한통운,2026-06-09,"CJ대한통운, 호실적에도 주가 바닥…쿠팡戰 투자·승계에 갇힌 밸류업 - v.daum.net",0.9909
000120,CJ대한통운,2026-04-16,"신한투자 ""CJ대한통운, 주가 변동성 확대…목표가 하향"" - 연합뉴스",-0.9934
000120,CJ대한통운,2026-02-11,"iM증권 ""CJ대한통운 목표주가 19만 원으로 상향, 상반기 물류 피지컬AI 효과 기대"" - 비즈니스포스트",0.9937
000120,CJ대한통운,2026-02-11,"한투증권, CJ대한통운 목표가 30%↑…""택배 성장이 실적 견인"" - 연합뉴스",0.9926
000120,CJ대한통운,2026-05-14,"NH투자 ""CJ대한통운 목표주가 하향, 중동 전쟁 여파로 실적 개선 지연"" - 비즈니스포스트",-0.9935
000120,CJ대한통운,2025-12-31,"KB증권 ""CJ대한통운, '쿠팡 사태' 최대 수혜주…목표가↑"" - 연합뉴스",0.9926
000120,CJ대한통운,2026-04-16,"신한투자 ""CJ대한통운 목표주가 하향, 중동사태로 글로벌 사업 부진"" - 비즈니스포스트",-0.9938
